"","protein.ids","majority.protein.ids","peptide.counts..all.","peptide.counts..razor.unique.","peptide.counts..unique.","fasta.headers","number.of.proteins","peptides","razor...unique.peptides","unique.peptides"
"2124","sp|Q920G3|SIGL5_MOUSE","sp|Q920G3|SIGL5_MOUSE","2","2","2","Sialic acid-binding Ig-like lectin 5",1,2,2,2
"2125","sp|Q920Q4|VPS16_MOUSE","sp|Q920Q4|VPS16_MOUSE","3","3","3","Vacuolar protein sorting-associated protein 16 homolog",1,3,3,3
"2126","sp|Q921C5|BICD2_MOUSE","sp|Q921C5|BICD2_MOUSE","2","2","2","Protein bicaudal D homolog 2",1,2,2,2
"2127","sp|Q921E2|RAB31_MOUSE;sp|P35285|RB22A_MOUSE","sp|Q921E2|RAB31_MOUSE;sp|P35285|RB22A_MOUSE","2;1","2;1","2;1","Ras-related protein Rab-31;Ras-related protein Rab-22A",2,2,2,2
"2128","sp|Q921F2|TADBP_MOUSE","sp|Q921F2|TADBP_MOUSE","16","16","16","TAR DNA-binding protein 43",1,16,16,16
"2129","sp|Q921F4|HNRLL_MOUSE","sp|Q921F4|HNRLL_MOUSE","6","6","6","Heterogeneous nuclear ribonucleoprotein L-like",1,6,6,6
"2130","sp|Q921G6|LRCH4_MOUSE","sp|Q921G6|LRCH4_MOUSE","2","2","2","Leucine-rich repeat and calponin homology domain-containing protein 4",1,2,2,2
"2131","sp|Q921G7|ETFD_MOUSE","sp|Q921G7|ETFD_MOUSE","3","3","3","Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial",1,3,3,3
"2132","sp|Q921H8|THIKA_MOUSE","sp|Q921H8|THIKA_MOUSE","18","18","6","3-ketoacyl-CoA thiolase A, peroxisomal",1,18,18,6
"2133","sp|Q921I1|TRFE_MOUSE","sp|Q921I1|TRFE_MOUSE","11","11","11","Serotransferrin",1,11,11,11
"2134","sp|Q921I9|EXOS4_MOUSE","sp|Q921I9|EXOS4_MOUSE","4","4","4","Exosome complex component RRP41",1,4,4,4
"2135","sp|Q921J2|RHEB_MOUSE","sp|Q921J2|RHEB_MOUSE","3","3","3","GTP-binding protein Rheb",1,3,3,3
"2136","sp|Q921L3|TMCO1_MOUSE","sp|Q921L3|TMCO1_MOUSE","5","5","5","Calcium load-activated calcium channel",1,5,5,5
"2137","sp|Q921M3|SF3B3_MOUSE","sp|Q921M3|SF3B3_MOUSE","16","16","16","Splicing factor 3B subunit 3",1,16,16,16
"2138","sp|Q921M4|GOGA2_MOUSE","sp|Q921M4|GOGA2_MOUSE","3","3","3","Golgin subfamily A member 2",1,3,3,3
"2139","sp|Q921M7|CYRIB_MOUSE","sp|Q921M7|CYRIB_MOUSE","17","17","15","CYFIP-related Rac1 interactor B",1,17,17,15
"2140","sp|Q921T2|TOIP1_MOUSE","sp|Q921T2|TOIP1_MOUSE","8","8","8","Torsin-1A-interacting protein 1",1,8,8,8
"2141","sp|Q921W0|CHM1A_MOUSE","sp|Q921W0|CHM1A_MOUSE","3","3","3","Charged multivesicular body protein 1a",1,3,3,3
"2142","sp|Q921W4|QORL1_MOUSE","sp|Q921W4|QORL1_MOUSE","2","2","2","Quinone oxidoreductase-like protein 1",1,2,2,2
"2143","sp|Q921Y0|MOB1A_MOUSE;sp|Q8BPB0|MOB1B_MOUSE","sp|Q921Y0|MOB1A_MOUSE;sp|Q8BPB0|MOB1B_MOUSE","5;3","5;3","5;3","MOB kinase activator 1A;MOB kinase activator 1B",2,5,5,5
"2144","sp|Q921Z5|TFIP8_MOUSE","sp|Q921Z5|TFIP8_MOUSE","2","2","2","Tumor necrosis factor alpha-induced protein 8",1,2,2,2
"2145","sp|Q922B1|MACD1_MOUSE","sp|Q922B1|MACD1_MOUSE","4","4","4","ADP-ribose glycohydrolase MACROD1",1,4,4,4
"2146","sp|Q922B2|SYDC_MOUSE","sp|Q922B2|SYDC_MOUSE","18","18","18","Aspartate--tRNA ligase, cytoplasmic",1,18,18,18
"2147","sp|Q922D4|PP6R3_MOUSE","sp|Q922D4|PP6R3_MOUSE","2","2","2","Serine/threonine-protein phosphatase 6 regulatory subunit 3",1,2,2,2
"2148","sp|Q922D8|C1TC_MOUSE","sp|Q922D8|C1TC_MOUSE","25","25","24","C-1-tetrahydrofolate synthase, cytoplasmic",1,25,25,24
"2149","sp|Q922F4|TBB6_MOUSE","sp|Q922F4|TBB6_MOUSE","20","7","7","Tubulin beta-6 chain",1,20,7,7
"2150","sp|Q922H2|PDK3_MOUSE","sp|Q922H2|PDK3_MOUSE","3","3","3","[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial",1,3,3,3
"2151","sp|Q922H4|GMPPA_MOUSE","sp|Q922H4|GMPPA_MOUSE","2","2","2","Mannose-1-phosphate guanyltransferase alpha",1,2,2,2
"2152","sp|Q922J3|CLIP1_MOUSE","sp|Q922J3|CLIP1_MOUSE","4","4","4","CAP-Gly domain-containing linker protein 1",1,4,4,4
"2153","sp|Q922L6|NELFD_MOUSE","sp|Q922L6|NELFD_MOUSE","2","2","2","Negative elongation factor D",1,2,2,2
"2154","sp|Q922P9|GLYR1_MOUSE","sp|Q922P9|GLYR1_MOUSE","6","6","6","Putative oxidoreductase GLYR1",1,6,6,6
"2155","sp|Q922Q1|MARC2_MOUSE","sp|Q922Q1|MARC2_MOUSE","9","9","9","Mitochondrial amidoxime reducing component 2",1,9,9,9
"2156","sp|Q922Q4|P5CR2_MOUSE;sp|Q922W5|P5CR1_MOUSE","sp|Q922Q4|P5CR2_MOUSE;sp|Q922W5|P5CR1_MOUSE","2;1","2;1","2;1","Pyrroline-5-carboxylate reductase 2;Pyrroline-5-carboxylate reductase 1, mitochondrial",2,2,2,2
"2157","sp|Q922Q8|LRC59_MOUSE","sp|Q922Q8|LRC59_MOUSE","11","11","11","Leucine-rich repeat-containing protein 59",1,11,11,11
"2158","sp|Q922R8|PDIA6_MOUSE","sp|Q922R8|PDIA6_MOUSE","23","23","23","Protein disulfide-isomerase A6",1,23,23,23
"2159","sp|Q922V4|PLRG1_MOUSE","sp|Q922V4|PLRG1_MOUSE","2","2","2","Pleiotropic regulator 1",1,2,2,2
"2160","sp|Q922Y1|UBXN1_MOUSE","sp|Q922Y1|UBXN1_MOUSE","4","4","4","UBX domain-containing protein 1",1,4,4,4
"2161","sp|Q923D2|BLVRB_MOUSE","sp|Q923D2|BLVRB_MOUSE","9","9","9","Flavin reductase (NADPH)",1,9,9,9
"2162","sp|Q923D4|SF3B5_MOUSE","sp|Q923D4|SF3B5_MOUSE","2","2","2","Splicing factor 3B subunit 5",1,2,2,2
"2163","sp|Q923D5|WBP11_MOUSE","sp|Q923D5|WBP11_MOUSE","3","3","3","WW domain-binding protein 11",1,3,3,3
"2164","sp|Q923G2|RPAB3_MOUSE","sp|Q923G2|RPAB3_MOUSE","4","4","4","DNA-directed RNA polymerases I, II, and III subunit RPABC3",1,4,4,4
"2165","sp|Q923T9|KCC2G_MOUSE;sp|P28652|KCC2B_MOUSE;sp|P11798|KCC2A_MOUSE","sp|Q923T9|KCC2G_MOUSE;sp|P28652|KCC2B_MOUSE;sp|P11798|KCC2A_MOUSE","4;3;2","2;1;0","2;1;0","Calcium/calmodulin-dependent protein kinase type II subunit gamma;Calcium/calmodulin-dependent protein kinase type II subunit beta;Calcium/calmodulin-dependent protein kinase type II subunit alpha",3,4,2,2
"2166","sp|Q924Z4|CERS2_MOUSE","sp|Q924Z4|CERS2_MOUSE","4","4","4","Ceramide synthase 2",1,4,4,4
"2167","sp|Q925F2|ESAM_MOUSE","sp|Q925F2|ESAM_MOUSE","2","2","2","Endothelial cell-selective adhesion molecule",1,2,2,2
"2168","sp|Q925I1|ATAD3_MOUSE","sp|Q925I1|ATAD3_MOUSE","5","5","5","ATPase family AAA domain-containing protein 3",1,5,5,5
"2169","sp|Q925Q3|NCLX_MOUSE","sp|Q925Q3|NCLX_MOUSE","2","2","2","Mitochondrial sodium/calcium exchanger protein",1,2,2,2
"2170","sp|Q93092|TALDO_MOUSE","sp|Q93092|TALDO_MOUSE","28","28","28","Transaldolase",1,28,28,28
"2171","sp|Q99020|ROAA_MOUSE","sp|Q99020|ROAA_MOUSE","18","18","18","Heterogeneous nuclear ribonucleoprotein A/B",1,18,18,18
"2172","sp|Q99104|MYO5A_MOUSE;sp|P21271|MYO5B_MOUSE","sp|Q99104|MYO5A_MOUSE","4;1","4;1","4;1","Unconventional myosin-Va",2,4,4,4
"2173","sp|Q99J08|S14L2_MOUSE","sp|Q99J08|S14L2_MOUSE","2","2","2","SEC14-like protein 2",1,2,2,2
"2174","sp|Q99J09|MEP50_MOUSE","sp|Q99J09|MEP50_MOUSE","2","2","2","Methylosome protein 50",1,2,2,2
"2175","sp|Q99J36|THUM1_MOUSE","sp|Q99J36|THUM1_MOUSE","5","5","5","THUMP domain-containing protein 1",1,5,5,5
"2176","sp|Q99J39|DCMC_MOUSE","sp|Q99J39|DCMC_MOUSE","3","3","3","Malonyl-CoA decarboxylase, mitochondrial",1,3,3,3
"2177","sp|Q99J45|NRBP_MOUSE","sp|Q99J45|NRBP_MOUSE","3","3","3","Nuclear receptor-binding protein",1,3,3,3
"2178","sp|Q99J47|DRS7B_MOUSE","sp|Q99J47|DRS7B_MOUSE","10","10","10","Dehydrogenase/reductase SDR family member 7B",1,10,10,10
"2179","sp|Q99J56|DERL1_MOUSE","sp|Q99J56|DERL1_MOUSE","2","2","2","Derlin-1",1,2,2,2
"2180","sp|Q99J77|SIAS_MOUSE","sp|Q99J77|SIAS_MOUSE","10","10","10","Sialic acid synthase",1,10,10,10
"2181","sp|Q99J99|THTM_MOUSE","sp|Q99J99|THTM_MOUSE","4","4","4","3-mercaptopyruvate sulfurtransferase",1,4,4,4
"2182","sp|Q99JB2|STML2_MOUSE","sp|Q99JB2|STML2_MOUSE","10","10","10","Stomatin-like protein 2, mitochondrial",1,10,10,10
"2183","sp|Q99JF8|PSIP1_MOUSE","sp|Q99JF8|PSIP1_MOUSE","11","11","11","PC4 and SFRS1-interacting protein",1,11,11,11
"2184","sp|Q99JI4|PSMD6_MOUSE","sp|Q99JI4|PSMD6_MOUSE","13","13","13","26S proteasome non-ATPase regulatory subunit 6",1,13,13,13
"2185","sp|Q99JI6|RAP1B_MOUSE","sp|Q99JI6|RAP1B_MOUSE","14","14","4","Ras-related protein Rap-1b",1,14,14,4
"2186","sp|Q99JR1|SFXN1_MOUSE","sp|Q99JR1|SFXN1_MOUSE","8","7","7","Sideroflexin-1",1,8,7,7
"2187","sp|Q99JR5|TINAL_MOUSE","sp|Q99JR5|TINAL_MOUSE","2","2","2","Tubulointerstitial nephritis antigen-like",1,2,2,2
"2188","sp|Q99JR8|SMRD2_MOUSE;sp|Q6P9Z1|SMRD3_MOUSE","sp|Q99JR8|SMRD2_MOUSE","3;1","3;1","3;1","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2",2,3,3,3
"2189","sp|Q99JW4|LIMS1_MOUSE","sp|Q99JW4|LIMS1_MOUSE","6","6","6","LIM and senescent cell antigen-like-containing domain protein 1",1,6,6,6
"2190","sp|Q99JW5|EPCAM_MOUSE","sp|Q99JW5|EPCAM_MOUSE","6","6","6","Epithelial cell adhesion molecule",1,6,6,6
"2191","sp|Q99JX3|GORS2_MOUSE","sp|Q99JX3|GORS2_MOUSE","2","2","2","Golgi reassembly-stacking protein 2",1,2,2,2
"2192","sp|Q99JX4|EIF3M_MOUSE","sp|Q99JX4|EIF3M_MOUSE","5","5","5","Eukaryotic translation initiation factor 3 subunit M",1,5,5,5
"2193","sp|Q99JX7|NXF1_MOUSE","sp|Q99JX7|NXF1_MOUSE","2","2","2","Nuclear RNA export factor 1",1,2,2,2
"2194","sp|Q99JY0|ECHB_MOUSE","sp|Q99JY0|ECHB_MOUSE","25","25","25","Trifunctional enzyme subunit beta, mitochondrial",1,25,25,25
"2195","sp|Q99JY3|GIMA4_MOUSE","sp|Q99JY3|GIMA4_MOUSE","21","21","21","GTPase IMAP family member 4",1,21,21,21
"2196","sp|Q99JY8|PLPP3_MOUSE","sp|Q99JY8|PLPP3_MOUSE","2","2","2","Phospholipid phosphatase 3",1,2,2,2
"2197","sp|Q99JY9|ARP3_MOUSE;sp|Q641P0|ARP3B_MOUSE","sp|Q99JY9|ARP3_MOUSE","34;4","34;4","34;4","Actin-related protein 3",2,34,34,34
"2198","sp|Q99K28|ARFG2_MOUSE","sp|Q99K28|ARFG2_MOUSE","2","2","2","ADP-ribosylation factor GTPase-activating protein 2",1,2,2,2
"2199","sp|Q99K48|NONO_MOUSE","sp|Q99K48|NONO_MOUSE","21","20","20","Non-POU domain-containing octamer-binding protein",1,21,20,20
"2200","sp|Q99K51|PLST_MOUSE","sp|Q99K51|PLST_MOUSE","15","10","9","Plastin-3",1,15,10,9
"2201","sp|Q99K85|SERC_MOUSE","sp|Q99K85|SERC_MOUSE","2","2","2","Phosphoserine aminotransferase",1,2,2,2
"2202","sp|Q99KC8|VMA5A_MOUSE","sp|Q99KC8|VMA5A_MOUSE","18","18","18","von Willebrand factor A domain-containing protein 5A",1,18,18,18
"2203","sp|Q99KD5|UN45A_MOUSE","sp|Q99KD5|UN45A_MOUSE","3","3","3","Protein unc-45 homolog A",1,3,3,3
"2204","sp|Q99KE1|MAOM_MOUSE;sp|Q8BMF3|MAON_MOUSE","sp|Q99KE1|MAOM_MOUSE","16;1","16;1","16;1","NAD-dependent malic enzyme, mitochondrial",2,16,16,16
"2205","sp|Q99KF1|TMED9_MOUSE","sp|Q99KF1|TMED9_MOUSE","9","9","8","Transmembrane emp24 domain-containing protein 9",1,9,9,8
"2206","sp|Q99KG3|RBM10_MOUSE","sp|Q99KG3|RBM10_MOUSE","3","3","3","RNA-binding protein 10",1,3,3,3
"2207","sp|Q99KH8|STK24_MOUSE","sp|Q99KH8|STK24_MOUSE","8","8","3","Serine/threonine-protein kinase 24",1,8,8,3
"2208","sp|Q99KI0|ACON_MOUSE","sp|Q99KI0|ACON_MOUSE","43","43","43","Aconitate hydratase, mitochondrial",1,43,43,43
"2209","sp|Q99KJ8|DCTN2_MOUSE","sp|Q99KJ8|DCTN2_MOUSE","13","13","13","Dynactin subunit 2",1,13,13,13
"2210","sp|Q99KK2|NEUA_MOUSE","sp|Q99KK2|NEUA_MOUSE","5","5","5","N-acylneuraminate cytidylyltransferase",1,5,5,5
"2211","sp|Q99KK7|DPP3_MOUSE","sp|Q99KK7|DPP3_MOUSE","19","19","19","Dipeptidyl peptidase 3",1,19,19,19
"2212","sp|Q99KN9|EPN4_MOUSE","sp|Q99KN9|EPN4_MOUSE","8","8","8","Clathrin interactor 1",1,8,8,8
"2213","sp|Q99KP3|CRYL1_MOUSE","sp|Q99KP3|CRYL1_MOUSE","6","6","6","Lambda-crystallin homolog",1,6,6,6
"2214","sp|Q99KP6|PRP19_MOUSE","sp|Q99KP6|PRP19_MOUSE","19","19","19","Pre-mRNA-processing factor 19",1,19,19,19
"2215","sp|Q99KQ4|NAMPT_MOUSE","sp|Q99KQ4|NAMPT_MOUSE","9","9","9","Nicotinamide phosphoribosyltransferase",1,9,9,9
"2216","sp|Q99KR3|LACB2_MOUSE","sp|Q99KR3|LACB2_MOUSE","3","3","3","Endoribonuclease LACTB2",1,3,3,3
"2217","sp|Q99KU0|VMP1_MOUSE","sp|Q99KU0|VMP1_MOUSE","2","2","2","Vacuole membrane protein 1",1,2,2,2
"2218","sp|Q99KV1|DJB11_MOUSE","sp|Q99KV1|DJB11_MOUSE","9","9","9","DnaJ homolog subfamily B member 11",1,9,9,9
"2219","sp|Q99KX1|MLF2_MOUSE","sp|Q99KX1|MLF2_MOUSE","4","4","4","Myeloid leukemia factor 2",1,4,4,4
"2220","sp|Q99KY4|GAK_MOUSE","sp|Q99KY4|GAK_MOUSE","2","2","2","Cyclin-G-associated kinase",1,2,2,2
"2221","sp|Q99L04|DHRS1_MOUSE","sp|Q99L04|DHRS1_MOUSE","5","5","5","Dehydrogenase/reductase SDR family member 1",1,5,5,5
"2222","sp|Q99L13|3HIDH_MOUSE","sp|Q99L13|3HIDH_MOUSE","11","11","11","3-hydroxyisobutyrate dehydrogenase, mitochondrial",1,11,11,11
"2223","sp|Q99L20|GSTT3_MOUSE","sp|Q99L20|GSTT3_MOUSE","5","5","5","Glutathione S-transferase theta-3",1,5,5,5
"2224","sp|Q99L43|CDS2_MOUSE","sp|Q99L43|CDS2_MOUSE","3","3","3","Phosphatidate cytidylyltransferase 2",1,3,3,3
"2225","sp|Q99L45|IF2B_MOUSE","sp|Q99L45|IF2B_MOUSE","7","7","7","Eukaryotic translation initiation factor 2 subunit 2",1,7,7,7
"2226","sp|Q99L47|F10A1_MOUSE","sp|Q99L47|F10A1_MOUSE","7","7","7","Hsc70-interacting protein",1,7,7,7
"2227","sp|Q99LB2|DHRS4_MOUSE","sp|Q99LB2|DHRS4_MOUSE","5","5","5","Dehydrogenase/reductase SDR family member 4",1,5,5,5
"2228","sp|Q99LB6|MAT2B_MOUSE","sp|Q99LB6|MAT2B_MOUSE","5","5","5","Methionine adenosyltransferase 2 subunit beta",1,5,5,5
"2229","sp|Q99LC2|CSTF1_MOUSE","sp|Q99LC2|CSTF1_MOUSE","2","2","2","Cleavage stimulation factor subunit 1",1,2,2,2
"2230","sp|Q99LC3|NDUAA_MOUSE","sp|Q99LC3|NDUAA_MOUSE","12","12","12","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",1,12,12,12
"2231","sp|Q99LC5|ETFA_MOUSE","sp|Q99LC5|ETFA_MOUSE","23","23","23","Electron transfer flavoprotein subunit alpha, mitochondrial",1,23,23,23
"2232","sp|Q99LD4|CSN1_MOUSE","sp|Q99LD4|CSN1_MOUSE","4","4","4","COP9 signalosome complex subunit 1",1,4,4,4
"2233","sp|Q99LD8|DDAH2_MOUSE;sp|Q9CWS0|DDAH1_MOUSE","sp|Q99LD8|DDAH2_MOUSE","6;1","6;1","6;1","N(G),N(G)-dimethylarginine dimethylaminohydrolase 2",2,6,6,6
"2234","sp|Q99LD9|EI2BB_MOUSE","sp|Q99LD9|EI2BB_MOUSE","2","2","2","Translation initiation factor eIF-2B subunit beta",1,2,2,2
"2235","sp|Q99LF4|RTCB_MOUSE","sp|Q99LF4|RTCB_MOUSE","14","14","14","RNA-splicing ligase RtcB homolog",1,14,14,14
"2236","sp|Q99LI7|CSTF3_MOUSE","sp|Q99LI7|CSTF3_MOUSE","6","6","6","Cleavage stimulation factor subunit 3",1,6,6,6
"2237","sp|Q99LI8|HGS_MOUSE","sp|Q99LI8|HGS_MOUSE","2","2","2","Hepatocyte growth factor-regulated tyrosine kinase substrate",1,2,2,2
"2238","sp|Q99LP6|GRPE1_MOUSE","sp|Q99LP6|GRPE1_MOUSE","5","5","5","GrpE protein homolog 1, mitochondrial",1,5,5,5
"2239","sp|Q99LR1|ABD12_MOUSE","sp|Q99LR1|ABD12_MOUSE","18","18","18","Lysophosphatidylserine lipase ABHD12",1,18,18,18
"2240","sp|Q99LT0|DPY30_MOUSE","sp|Q99LT0|DPY30_MOUSE","7","7","7","Protein dpy-30 homolog",1,7,7,7
"2241","sp|Q99LU0|CH1B1_MOUSE;sp|Q9CQD4|CH1B2_MOUSE","sp|Q99LU0|CH1B1_MOUSE","4;1","4;1","4;1","Charged multivesicular body protein 1b-1",2,4,4,4
"2242","sp|Q99LX0|PARK7_MOUSE","sp|Q99LX0|PARK7_MOUSE","16","16","16","Parkinson disease protein 7 homolog",1,16,16,16
"2243","sp|Q99LY9|NDUS5_MOUSE","sp|Q99LY9|NDUS5_MOUSE","2","2","2","NADH dehydrogenase [ubiquinone] iron-sulfur protein 5",1,2,2,2
"2244","sp|Q99M28|RNPS1_MOUSE","sp|Q99M28|RNPS1_MOUSE","2","2","2","RNA-binding protein with serine-rich domain 1",1,2,2,2
"2245","sp|Q99M71|EPDR1_MOUSE","sp|Q99M71|EPDR1_MOUSE","2","2","2","Mammalian ependymin-related protein 1",1,2,2,2
"2246","sp|Q99M87|DNJA3_MOUSE","sp|Q99M87|DNJA3_MOUSE","3","3","3","DnaJ homolog subfamily A member 3, mitochondrial",1,3,3,3
"2247","sp|Q99MD9|NASP_MOUSE","sp|Q99MD9|NASP_MOUSE","10","10","10","Nuclear autoantigenic sperm protein",1,10,10,10
"2248","sp|Q99ME9|GTPB4_MOUSE","sp|Q99ME9|GTPB4_MOUSE","5","5","5","GTP-binding protein 4",1,5,5,5
"2249","sp|Q99MJ9|DDX50_MOUSE","sp|Q99MJ9|DDX50_MOUSE","2","2","2","ATP-dependent RNA helicase DDX50",1,2,2,2
"2250","sp|Q99MK8|ARBK1_MOUSE;sp|Q3UYH7|ARBK2_MOUSE","sp|Q99MK8|ARBK1_MOUSE","8;2","8;2","8;2","Beta-adrenergic receptor kinase 1",2,8,8,8
"2251","sp|Q99ML0|ZMY10_MOUSE","sp|Q99ML0|ZMY10_MOUSE","2","2","2","Zinc finger MYND domain-containing protein 10",1,2,2,2
"2252","sp|Q99MN1|SYK_MOUSE","sp|Q99MN1|SYK_MOUSE","14","14","14","Lysine--tRNA ligase",1,14,14,14
"2253","sp|Q99MN9|PCCB_MOUSE","sp|Q99MN9|PCCB_MOUSE","16","16","16","Propionyl-CoA carboxylase beta chain, mitochondrial",1,16,16,16
"2254","sp|Q99MR6|SRRT_MOUSE","sp|Q99MR6|SRRT_MOUSE","10","10","10","Serrate RNA effector molecule homolog",1,10,10,10
"2255","sp|Q99MR8|MCCA_MOUSE","sp|Q99MR8|MCCA_MOUSE","10","10","10","Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",1,10,10,10
"2256","sp|Q99MS7|EH1L1_MOUSE","sp|Q99MS7|EH1L1_MOUSE","5","5","5","EH domain-binding protein 1-like protein 1",1,5,5,5
"2257","sp|Q99N16|CP4F3_MOUSE;sp|Q9EP75|CP4FE_MOUSE","sp|Q99N16|CP4F3_MOUSE;sp|Q9EP75|CP4FE_MOUSE","4;2","4;2","4;2","Cytochrome P450 4F3;Leukotriene-B4 omega-hydroxylase 3",2,4,4,4
"2258","sp|Q99N69|LPXN_MOUSE","sp|Q99N69|LPXN_MOUSE","6","6","6","Leupaxin",1,6,6,6
"2259","sp|Q99NB1|ACS2L_MOUSE","sp|Q99NB1|ACS2L_MOUSE","11","11","11","Acetyl-coenzyme A synthetase 2-like, mitochondrial",1,11,11,11
"2260","sp|Q99NB9|SF3B1_MOUSE","sp|Q99NB9|SF3B1_MOUSE","36","36","36","Splicing factor 3B subunit 1",1,36,36,36
"2261","sp|Q99P31|HPBP1_MOUSE","sp|Q99P31|HPBP1_MOUSE","3","3","3","Hsp70-binding protein 1",1,3,3,3
"2262","sp|Q99P72|RTN4_MOUSE","sp|Q99P72|RTN4_MOUSE","9","9","9","Reticulon-4",1,9,9,9
"2263","sp|Q99P88|NU155_MOUSE","sp|Q99P88|NU155_MOUSE","10","10","10","Nuclear pore complex protein Nup155",1,10,10,10
"2264","sp|Q99PL5|RRBP1_MOUSE","sp|Q99PL5|RRBP1_MOUSE","52","52","52","Ribosome-binding protein 1",1,52,52,52
"2265","sp|Q99PL6|UBXN6_MOUSE","sp|Q99PL6|UBXN6_MOUSE","2","2","2","UBX domain-containing protein 6",1,2,2,2
"2266","sp|Q99PT1|GDIR1_MOUSE","sp|Q99PT1|GDIR1_MOUSE","17","17","17","Rho GDP-dissociation inhibitor 1",1,17,17,17
"2267","sp|Q99PU8|DHX30_MOUSE","sp|Q99PU8|DHX30_MOUSE","2","2","2","ATP-dependent RNA helicase DHX30",1,2,2,2
"2268","sp|Q99PV0|PRP8_MOUSE","sp|Q99PV0|PRP8_MOUSE","34","34","34","Pre-mRNA-processing-splicing factor 8",1,34,34,34
"2269","sp|Q9CPQ1|COX6C_MOUSE","sp|Q9CPQ1|COX6C_MOUSE","5","5","5","Cytochrome c oxidase subunit 6C",1,5,5,5
"2270","sp|Q9CPQ3|TOM22_MOUSE","sp|Q9CPQ3|TOM22_MOUSE","4","4","4","Mitochondrial import receptor subunit TOM22 homolog",1,4,4,4
"2271","sp|Q9CPQ8|ATP5L_MOUSE","sp|Q9CPQ8|ATP5L_MOUSE","3","3","3","ATP synthase subunit g, mitochondrial",1,3,3,3
"2272","sp|Q9CPR4|RL17_MOUSE","sp|Q9CPR4|RL17_MOUSE","12","12","12","60S ribosomal protein L17",1,12,12,12
"2273","sp|Q9CPT4|MYDGF_MOUSE","sp|Q9CPT4|MYDGF_MOUSE","3","3","3","Myeloid-derived growth factor",1,3,3,3
"2274","sp|Q9CPU0|LGUL_MOUSE","sp|Q9CPU0|LGUL_MOUSE","8","8","8","Lactoylglutathione lyase",1,8,8,8
"2275","sp|Q9CPU4|MGST3_MOUSE","sp|Q9CPU4|MGST3_MOUSE","3","3","3","Microsomal glutathione S-transferase 3",1,3,3,3
"2276","sp|Q9CPV4|GLOD4_MOUSE","sp|Q9CPV4|GLOD4_MOUSE","14","14","14","Glyoxalase domain-containing protein 4",1,14,14,14
"2277","sp|Q9CPW4|ARPC5_MOUSE","sp|Q9CPW4|ARPC5_MOUSE","9","9","9","Actin-related protein 2/3 complex subunit 5",1,9,9,9
"2278","sp|Q9CPX6|ATG3_MOUSE","sp|Q9CPX6|ATG3_MOUSE","3","3","3","Ubiquitin-like-conjugating enzyme ATG3",1,3,3,3
"2279","sp|Q9CPY7|AMPL_MOUSE","sp|Q9CPY7|AMPL_MOUSE","11","11","11","Cytosol aminopeptidase",1,11,11,11
"2280","sp|Q9CQ10|CHMP3_MOUSE","sp|Q9CQ10|CHMP3_MOUSE","2","2","2","Charged multivesicular body protein 3",1,2,2,2
"2281","sp|Q9CQ22|LTOR1_MOUSE","sp|Q9CQ22|LTOR1_MOUSE","6","6","6","Ragulator complex protein LAMTOR1",1,6,6,6
"2282","sp|Q9CQ60|6PGL_MOUSE","sp|Q9CQ60|6PGL_MOUSE","12","12","12","6-phosphogluconolactonase",1,12,12,12
"2283","sp|Q9CQ62|DECR_MOUSE","sp|Q9CQ62|DECR_MOUSE","11","11","11","2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial",1,11,11,11
"2284","sp|Q9CQ65|MTAP_MOUSE","sp|Q9CQ65|MTAP_MOUSE","5","5","5","S-methyl-5-thioadenosine phosphorylase",1,5,5,5
"2285","sp|Q9CQ69|QCR8_MOUSE","sp|Q9CQ69|QCR8_MOUSE","4","4","4","Cytochrome b-c1 complex subunit 8",1,4,4,4
"2286","sp|Q9CQ71|RFA3_MOUSE","sp|Q9CQ71|RFA3_MOUSE","3","3","3","Replication protein A 14 kDa subunit",1,3,3,3
"2287","sp|Q9CQ75|NDUA2_MOUSE","sp|Q9CQ75|NDUA2_MOUSE","4","4","4","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2",1,4,4,4
"2288","sp|Q9CQ80|VPS25_MOUSE","sp|Q9CQ80|VPS25_MOUSE","7","7","7","Vacuolar protein-sorting-associated protein 25",1,7,7,7
"2289","sp|Q9CQ89|CUTA_MOUSE","sp|Q9CQ89|CUTA_MOUSE","3","3","3","Protein CutA",1,3,3,3
"2290","sp|Q9CQ92|FIS1_MOUSE","sp|Q9CQ92|FIS1_MOUSE","6","6","6","Mitochondrial fission 1 protein",1,6,6,6
"2291","sp|Q9CQA1|TPPC5_MOUSE","sp|Q9CQA1|TPPC5_MOUSE","2","2","2","Trafficking protein particle complex subunit 5",1,2,2,2
"2292","sp|Q9CQA3|SDHB_MOUSE","sp|Q9CQA3|SDHB_MOUSE","12","12","12","Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",1,12,12,12
